"","Row.names","group","group_name","indval","pvalue"
"2","AA12",2,"bare_old",0.313100742959602,0.008
"7","AA7",NA,NA,NA,NA
"1","AA10",NA,NA,NA,NA
"3","AA3",NA,NA,NA,NA
"4","AA3_2",NA,NA,NA,NA
"6","AA6",NA,NA,NA,NA
"5","AA5",NA,NA,NA,NA
"43","GH9",NA,NA,NA,NA
"42","GH8",NA,NA,NA,NA
"22","GH44",NA,NA,NA,NA
"33","GH5_35",4,"control_old",0.552273392245316,0.013
"39","GH5_7",NA,NA,NA,NA
"40","GH5_8",NA,NA,NA,NA
"25","GH5_13",NA,NA,NA,NA
"38","GH5_5",NA,NA,NA,NA
"41","GH6",1,"bare_new",0.320373425203807,0.008
"37","GH5_46",2,"bare_old",0.369725430652171,0.045
"30","GH5_26",NA,NA,NA,NA
"24","GH5",1,"bare_new",0.447049835852858,0.015
"28","GH5_24",NA,NA,NA,NA
"36","GH5_40",NA,NA,NA,NA
"26","GH5_19",2,"bare_old",0.437492879176779,0.017
"29","GH5_25",2,"bare_old",0.43214016246454,0.013
"35","GH5_4",NA,NA,NA,NA
"32","GH5_28",NA,NA,NA,NA
"31","GH5_27",NA,NA,NA,NA
"17","GH12",NA,NA,NA,NA
"34","GH5_36",NA,NA,NA,NA
"23","GH45",3,"control_new",0.685958931562075,0.003
"9","CBM2.GH5_1",2,"bare_old",0.582338816744399,0.035
"27","GH5_22",NA,NA,NA,NA
"11","CBM4.GH9",1,"bare_new",0.593909960337714,0.007
"8","CBM2.GH44",3,"control_new",0.443863566776938,0.042
"14","CBM8.GH44",NA,NA,NA,NA
"12","CBM6.GH5_46",NA,NA,NA,NA
"15","GH10",NA,NA,NA,NA
"18","GH30",2,"bare_old",0.32154420217794,0.004
"16","GH11",NA,NA,NA,NA
"20","GH30_2",1,"bare_new",0.380880647676106,0.045
"21","GH30_4",1,"bare_new",0.75,0.024
"19","GH30_1",NA,NA,NA,NA
"10","CBM32.GH30_3",NA,NA,NA,NA
"13","CBM60.GH11",3,"control_new",0.464067577306251,0.047
