AA12,AA7,AA10,AA3,AA3_2,AA6,AA5,AA10|CBM73
0.0370496633805605,0.0095021861076646,0,0.00363360311874831,0.00471605560033799,0,0.00209516340471232,0.00573594777744157
0.0397365360445905,0.0104765104870222,0,0.00321022228166262,0.00594028566391039,0,0.00388168846170076,0.00732554109175202
0.0363559961356258,0.0120712358948527,0,0.00321656506843037,0.0030622376531029,0,0.00364132293171197,0.00533266637025171
0.0272531473600061,0.0143377609294402,0,0.0037754472265505,0.00440559993795656,0.00064115932683807,0.00279823252010821,0.00240271519629745
0.0254981999169039,0.0171697533405736,0,0.00291107661110473,0.00471681853658859,0.000635134690486138,0.00214657755651264,0.00227665388035764
0.0214900182140624,0.0141497320357621,0,0.0018526858638352,0.00522070108674054,0.00051329775696396,0.00204877196906777,0.00234172500122051
0.0299098571139355,0.012250129634762,0.000282389499196077,0.00275315637242551,0.00532261000411554,0,0.00168285182502939,0.00295042389180423
0.0271781608167799,0.0100211624806974,0,0.00431515693026666,0.00384756079545973,0.00110598599011246,0.00211959524639466,0.00126140968322399
0.0314666585801971,0.0107025404082223,0,0.0036410247499861,0.00685550092679238,0,0.00242491615455586,0.00179869660620544
0.0340098021121321,0.0116841069749584,0.000666136341293589,0.00390139123275987,0.00588022987743187,0,0.00226852234635254,0.000902200951039179
0.0270697369468539,0.0154808665243169,0,0.00400069299323986,0.00539636127197338,0,0.0025461642098972,0.00100235378346854
0.029005096933286,0.0114794750082015,0,0.00465769225223824,0.00533930226672405,0.00118855196642783,0.00305483510848743,0.000774616352865385
0.0240342894600641,0.0138473036288004,0.000289517654981839,0.00307551174824532,0.00431743460155106,0,0.00184328282262612,0.000448133233780444
0.0231577043478729,0.0136780411840111,0.00104416787675069,0.00399988164602984,0.00538561135908567,0.000826632902427631,0.0016336039025975,0.00134685605283524
