Sample,Carboxylic_acids,Amino_acids,SL01_Acylaminosugars,Vitamins,Oligosaccharides,Bases,Monosaccharides,V1,C00212__Adenosine,Nucleosides,Rhodopsin_family,Fatty_acids,FA01_Fatty_Acids_and_Conjugates,Alkaloids_derived_from_nicotinic_acid,Others,Alkaloids_derived_from_lysine,Amines,Oxidoreductases__EC1_,Eicosanoids,FA03_Eicosanoids,DG02883__SLC22A7_inhibitor,Monolignols,FA05_Fatty_alcohols,Fats,24_Carbon_atoms,ST04_Bile_acids_and_derivatives,Isoflavonoids,PK12_Flavonoids,FA08_Fatty_amides,Treatment,Total_metabolites
b1,38461,84865,2609,1247,1493281,8575,114659,29885,1077,2172,1731,424803,545647,1288,965,838,1076,1002,654,654,833,1922,9054,2727,626,626,192,192,1727,b_old,7979598
b2,44692,85146,1679,1764,1466167,6511,130259,17822,1717,2363,2043,387053,525091,2030,710,543,1374,805,326,326,1116,1790,2211,4451,1163,1163,292,292,1862,b_old,7723272
b3,38449,78268,1734,1331,1653002,5566,102792,20225,1207,2121,1706,364164,432295,1485,728,751,1063,1215,499,499,1189,1866,6578,4740,764,764,376,376,1583,b_old,7911208
b4,30796,81676,1318,1644,1655146,6713,132512,24356,1123,1721,1430,374826,480384,1779,546,1237,1445,1235,307,307,758,1909,6701,855,781,781,165,165,13761,b_new,7295650
b5,42331,77394,2557,1974,1335422,7293,153145,39316,1009,1985,1515,394629,523209,2054,1085,477,1223,2526,506,506,1040,2675,7762,4547,732,732,231,231,1014,b_new,7747682
b6,18414,58738,1370,906,2102815,5445,110370,20401,1107,1741,1315,229405,273992,945,505,1407,815,633,208,208,627,2155,3211,773,624,624,121,121,1927,b_new,6930836
b7,40163,75971,2045,1328,1503024,5154,199529,27453,1065,1901,1394,308965,530402,1439,505,805,1162,1426,329,329,629,2579,5060,1492,695,695,167,167,4416,b_new,6955171
c1,27021,89856,2047,1416,1904709,5762,83232,14269,1247,1870,1514,263699,344285,1017,650,1301,786,701,267,267,509,2048,3569,1952,1001,1001,152,152,1362,c_old,6742389
c2,29946,116710,4630,1941,1896281,4936,73062,16488,901,1735,1258,289226,338353,1667,600,731,861,919,357,357,1045,1705,4603,3731,694,694,101,101,15174,c_old,6928739
c3,27630,96618,4249,1330,1715110,3186,81807,14251,1826,2467,2178,298643,487293,1288,800,635,958,891,352,352,623,2002,4771,4381,655,655,99,99,5700,c_old,6812048
c4,21513,69765,4249,1168,2019731,5220,76763,15072,1604,2811,1825,265108,319174,1031,568,362,825,597,221,221,404,1782,3050,4045,610,610,71,71,1722,c_new,6864741
c5,16915,100498,2317,1203,2035079,5814,77554,12655,1412,2160,1657,226859,301799,1032,747,535,807,826,245,245,735,1550,2025,2878,781,781,91,91,1222,c_new,6572061
c6,18030,63857,3128,1286,2130329,3291,78704,15065,1276,2048,1467,230359,298742,841,427,204,692,725,191,191,485,1381,2293,3397,789,789,111,111,2148,c_new,6617658
c7,22927,131733,3351,1287,2016627,5833,88081,16125,760,1524,923,229109,272733,1047,606,672,830,521,163,163,498,1063,2689,2634,723,723,137,137,1668,c_new,6674141
